wavelength (nm),FLME1.M1,FLME1.M2,FLME1.M3,FLME1.M4,FLME1.M5,FLME1.M6,FLME2.M1,FLME2.M2,FLME2.M3,FLME2.M4,FLME2.M5,FLME2.M6,FLME2.M7,FLME2.M8,FLME2.M9,FLME2.M10,FLME2.M11,FLME2.M12,FLME2.M13,FLME2.M14,FLME2.M15,FLME2.M16,FLME2.M17,FLME2.M18,FLME2.M19,FLME2.M20,FLME2.M21,FLME2.M22,FLME2.M23,FLME2.M24,FLME2.M25,FLME2.M26,FLME2.M27,FLME2.M28,FLME2.M29,FLME2.M30,FLME2.M31,FLME2.M32,FLME2.M33,FLME2.M34,FLME2.M35,FLME2.M36,FLME2.M37,FLME2.M38,FLME2.M39,FLME2.M40,FLME2.M41,FLME2.M42,FLME2.M43,FLAME1,FLAME2,FLAME3,FLAME4,FLAME5,FLAME6,FLAME7,FLAME8,FLAME9,FLAME10,FLAME11,,Median,SD
380,1.29E-04,1.29E-04,1.38E-04,4.27E-05,6.84E-05,5.65E-05,1.29E-04,1.29E-04,1.38E-04,4.27E-05,6.84E-05,5.65E-05,9.21E-05,1.02E-04,4.46E-05,6.50E-05,1.16E-04,1.14E-05,2.24E-05,9.20E-05,8.49E-05,5.20E-05,1.24E-04,7.98E-05,4.90E-05,1.03E-04,1.62E-04,1.16E-04,8.64E-05,2.54E-04,4.37E-05,2.65E-04,1.21E-04,8.02E-05,2.38E-04,8.64E-05,3.26E-04,8.86E-05,3.38E-04,6.00E-04,2.36E-04,2.12E-04,1.48E-04,6.60E-05,3.62E-05,2.39E-04,2.35E-04,1.86E-04,1.27E-04,8.03E-05,8.34E-06,7.50E-05,2.15E-04,2.27E-04,2.29E-05,1.48E-04,1.53E-05,3.88E-05,3.05E-05,2.63E-04,,0.00010,0.000101794
382,1.29E-04,1.29E-04,1.24E-04,3.94E-05,5.94E-05,5.37E-05,1.29E-04,1.29E-04,1.24E-04,3.94E-05,5.94E-05,5.37E-05,8.68E-05,8.60E-05,4.15E-05,6.45E-05,1.10E-04,1.75E-05,2.16E-05,8.14E-05,8.15E-05,5.25E-05,1.10E-04,8.05E-05,4.79E-05,9.09E-05,1.54E-04,1.26E-04,9.34E-05,2.40E-04,5.15E-05,2.50E-04,1.27E-04,7.31E-05,2.12E-04,8.18E-05,2.88E-04,8.72E-05,3.05E-04,5.44E-04,2.22E-04,2.15E-04,1.42E-04,4.79E-05,3.64E-05,2.31E-04,2.17E-04,1.85E-04,1.18E-04,6.01E-05,3.38E-05,1.01E-04,1.81E-04,1.57E-04,8.04E-05,1.21E-04,3.81E-05,7.00E-05,4.82E-05,1.97E-04,,0.00009,8.88259E-05
384,1.21E-04,1.21E-04,1.18E-04,3.90E-05,5.53E-05,4.73E-05,1.21E-04,1.21E-04,1.18E-04,3.90E-05,5.53E-05,4.73E-05,8.34E-05,8.61E-05,4.44E-05,5.64E-05,1.12E-04,1.38E-05,2.14E-05,8.96E-05,7.79E-05,4.45E-05,9.92E-05,6.26E-05,4.27E-05,9.06E-05,1.42E-04,1.13E-04,7.21E-05,2.02E-04,4.98E-05,2.02E-04,1.31E-04,7.53E-05,1.81E-04,8.78E-05,2.52E-04,7.93E-05,2.88E-04,5.00E-04,2.57E-04,1.79E-04,1.28E-04,4.91E-05,3.24E-05,2.05E-04,1.81E-04,1.69E-04,1.14E-04,6.30E-05,2.89E-05,1.03E-04,1.73E-04,1.49E-04,5.74E-05,9.35E-05,3.19E-05,6.00E-05,4.73E-05,1.89E-04,,0.00009,8.11069E-05
386,1.20E-04,1.20E-04,1.13E-04,3.43E-05,5.86E-05,4.89E-05,1.20E-04,1.20E-04,1.13E-04,3.43E-05,5.86E-05,4.89E-05,7.68E-05,8.03E-05,4.14E-05,6.34E-05,1.18E-04,8.36E-06,2.09E-05,9.48E-05,6.47E-05,3.16E-05,8.30E-05,6.73E-05,3.90E-05,8.21E-05,1.33E-04,1.11E-04,8.75E-05,1.93E-04,5.53E-05,1.97E-04,1.21E-04,7.26E-05,1.88E-04,7.75E-05,2.35E-04,8.37E-05,2.77E-04,4.71E-04,2.44E-04,1.62E-04,1.24E-04,4.68E-05,3.40E-05,1.84E-04,1.72E-04,1.50E-04,1.13E-04,5.76E-05,2.28E-05,1.08E-04,1.53E-04,1.49E-04,6.56E-05,9.56E-05,7.76E-05,5.55E-05,4.75E-05,1.99E-04,,0.00009,7.62482E-05
388,1.27E-04,1.27E-04,1.24E-04,3.31E-05,5.02E-05,4.84E-05,1.27E-04,1.27E-04,1.24E-04,3.31E-05,5.02E-05,4.84E-05,8.08E-05,6.74E-05,4.73E-05,5.89E-05,1.21E-04,1.35E-05,1.86E-05,9.55E-05,6.55E-05,4.18E-05,8.45E-05,7.19E-05,3.24E-05,6.92E-05,1.21E-04,1.17E-04,8.86E-05,1.84E-04,6.41E-05,2.16E-04,1.22E-04,6.18E-05,1.67E-04,7.68E-05,2.29E-04,8.30E-05,2.71E-04,4.92E-04,2.33E-04,1.61E-04,1.23E-04,4.90E-05,3.49E-05,2.03E-04,1.75E-04,1.55E-04,1.21E-04,6.51E-05,3.09E-05,9.81E-05,1.58E-04,1.45E-04,7.12E-05,1.04E-04,6.07E-05,5.29E-05,4.68E-05,1.69E-04,,0.00009,7.74205E-05
390,1.28E-04,1.28E-04,1.28E-04,3.51E-05,5.29E-05,5.40E-05,1.28E-04,1.28E-04,1.28E-04,3.51E-05,5.29E-05,5.40E-05,8.20E-05,7.00E-05,4.24E-05,5.03E-05,1.08E-04,1.02E-05,1.56E-05,9.20E-05,5.78E-05,4.60E-05,8.17E-05,7.48E-05,3.49E-05,7.18E-05,1.26E-04,1.10E-04,7.06E-05,1.80E-04,5.81E-05,1.98E-04,1.20E-04,6.37E-05,1.54E-04,7.13E-05,2.19E-04,7.71E-05,2.72E-04,4.64E-04,2.54E-04,1.62E-04,1.04E-04,4.25E-05,3.04E-05,1.77E-04,1.64E-04,1.49E-04,1.14E-04,5.42E-05,3.40E-05,7.04E-05,1.58E-04,1.39E-04,4.71E-05,8.01E-05,4.22E-05,4.93E-05,4.11E-05,1.57E-04,,0.00008,7.50696E-05
392,1.26E-04,1.26E-04,1.15E-04,3.45E-05,5.36E-05,5.01E-05,1.26E-04,1.26E-04,1.15E-04,3.45E-05,5.36E-05,5.01E-05,8.56E-05,6.12E-05,3.45E-05,5.62E-05,1.15E-04,1.18E-05,1.75E-05,9.85E-05,5.49E-05,4.68E-05,7.96E-05,7.53E-05,3.26E-05,7.09E-05,1.38E-04,1.14E-04,1.00E-04,1.79E-04,4.47E-05,1.81E-04,1.24E-04,6.20E-05,1.51E-04,7.33E-05,2.17E-04,7.55E-05,2.51E-04,4.37E-04,2.34E-04,1.50E-04,1.04E-04,3.27E-05,2.88E-05,1.58E-04,1.54E-04,1.41E-04,1.16E-04,5.90E-05,3.71E-05,7.92E-05,1.51E-04,1.29E-04,7.51E-05,6.60E-05,6.16E-05,5.00E-05,4.00E-05,1.68E-04,,0.00008,7.00589E-05
394,1.29E-04,1.29E-04,9.61E-05,3.41E-05,5.36E-05,4.61E-05,1.29E-04,1.29E-04,9.61E-05,3.41E-05,5.36E-05,4.61E-05,7.72E-05,5.25E-05,4.26E-05,4.74E-05,1.14E-04,1.41E-05,1.61E-05,9.06E-05,5.76E-05,3.57E-05,7.61E-05,7.98E-05,3.16E-05,6.61E-05,1.24E-04,1.10E-04,8.46E-05,1.77E-04,5.96E-05,1.99E-04,1.29E-04,5.14E-05,1.38E-04,7.34E-05,2.03E-04,7.21E-05,2.57E-04,4.52E-04,2.23E-04,1.53E-04,1.07E-04,4.12E-05,3.39E-05,1.50E-04,1.47E-04,1.39E-04,1.11E-04,6.54E-05,3.37E-05,8.38E-05,1.33E-04,1.08E-04,6.90E-05,6.26E-05,7.86E-05,5.27E-05,5.47E-05,1.57E-04,,0.00008,7.02805E-05
396,1.46E-04,1.46E-04,1.13E-04,3.31E-05,5.18E-05,5.23E-05,1.46E-04,1.46E-04,1.13E-04,3.31E-05,5.18E-05,5.23E-05,7.56E-05,4.65E-05,3.90E-05,5.07E-05,1.14E-04,1.25E-05,1.80E-05,9.05E-05,5.35E-05,3.95E-05,7.80E-05,7.69E-05,3.22E-05,6.75E-05,1.35E-04,1.23E-04,8.23E-05,1.69E-04,6.53E-05,2.15E-04,1.27E-04,6.05E-05,1.47E-04,6.36E-05,1.76E-04,6.77E-05,2.58E-04,4.77E-04,2.35E-04,1.51E-04,1.04E-04,4.37E-05,3.27E-05,1.25E-04,1.46E-04,1.43E-04,1.14E-04,6.02E-05,2.38E-05,8.87E-05,1.45E-04,1.19E-04,6.30E-05,6.89E-05,6.06E-05,4.89E-05,4.47E-05,1.50E-04,,0.00008,7.36265E-05
398,1.46E-04,1.46E-04,1.14E-04,3.48E-05,5.70E-05,4.93E-05,1.46E-04,1.46E-04,1.14E-04,3.48E-05,5.70E-05,4.93E-05,8.08E-05,4.78E-05,3.92E-05,5.24E-05,1.17E-04,9.88E-06,1.68E-05,8.71E-05,5.90E-05,3.95E-05,7.64E-05,7.62E-05,3.46E-05,6.60E-05,1.33E-04,1.10E-04,8.39E-05,1.70E-04,6.45E-05,2.03E-04,1.26E-04,5.32E-05,1.46E-04,6.13E-05,1.86E-04,6.86E-05,2.70E-04,4.08E-04,2.07E-04,1.39E-04,1.00E-04,3.89E-05,3.31E-05,1.21E-04,1.44E-04,1.43E-04,1.17E-04,5.52E-05,2.77E-05,9.55E-05,1.29E-04,1.29E-04,6.35E-05,7.72E-05,7.46E-05,4.24E-05,4.16E-05,1.63E-04,,0.00008,6.73019E-05
