Frame,Time (s),Red,Green,Blue,Greyscale
1,0.002,16.47751522,10.56476021,4.937897682,11.68669605
2,0.004,16.44684219,10.53071022,4.928957939,11.65672684
3,0.006,16.41468906,10.51044083,4.930030823,11.63527107
4,0.008,16.38306618,10.49725914,4.944228172,11.61980343
5,0.01,16.3455677,10.48578644,4.976283073,11.60546875
6,0.012,16.3275795,10.48340702,4.991462708,11.60035801
7,0.014,16.31706047,10.48370552,5.013755798,11.59963894
8,0.016,16.2794981,10.46716309,5.002146721,11.57732868
9,0.018,16.27417374,10.46690464,5.018088341,11.57778072
10,0.02,16.24691391,10.46745014,5.019823074,11.570261
11,0.022,16.25269318,10.4637289,5.024427414,11.57021999
12,0.024,16.23071289,10.45644665,5.038152695,11.56101704
13,0.026,16.2054863,10.4509182,5.029882431,11.54898071
14,0.028,16.17875004,10.4427042,5.029302597,11.5361557
15,0.03,16.13542843,10.42023087,5.017746925,11.50869274
16,0.032,16.13347816,10.42528057,5.032989502,11.51284409
17,0.034,16.11317921,10.42182255,5.045240402,11.50599289
18,0.036,16.10361099,10.42447376,5.05837822,11.50660896
19,0.038,16.08332443,10.428545,5.083376884,11.50564384
20,0.04,16.07004166,10.42883396,5.102703094,11.503829
21,0.042,16.05977631,10.4364233,5.117944717,11.50714684
22,0.044,16.04077625,10.45219994,5.128429413,11.51162338
23,0.046,16.04607868,10.4766655,5.158820152,11.53155422
24,0.048,16.04709625,10.49568653,5.175841331,11.54481411
25,0.05,16.0320816,10.51064682,5.204313278,11.55226612
26,0.052,16.03246498,10.51494694,5.226369858,11.55748081
27,0.054,16.03447056,10.52656841,5.253404617,11.56805134
28,0.056,16.02292919,10.53942108,5.285750389,11.57595444
29,0.058,16.00753212,10.54987049,5.298823357,11.57880592
30,0.06,16.01025677,10.58778858,5.321942329,11.60448742
31,0.062,16.00792408,10.61100769,5.315161705,11.61674404
32,0.064,16.02192783,10.62766743,5.29569912,11.62855339
33,0.066,16.03846741,10.64599133,5.272610664,11.64151573
34,0.068,16.0465641,10.66927814,5.233123779,11.65320492
35,0.07,16.08066177,10.68321514,5.189416885,11.66660786
36,0.072,16.09297562,10.68851089,5.140703201,11.66751385
37,0.074,16.14710712,10.71115971,5.106287003,11.69343853
38,0.076,16.16494656,10.71123886,5.040732384,11.69149017
39,0.078,16.19109631,10.71009541,4.996970177,11.6934309
40,0.08,16.20195293,10.70857048,4.950824738,11.69038582
41,0.082,16.20385647,10.6904459,4.931976318,11.67833614
42,0.084,16.2067976,10.67133617,4.923002243,11.66704369
43,0.086,16.21174431,10.64404297,4.916510582,11.65114403
44,0.088,16.23491573,10.62602329,4.950463295,11.65177441
45,0.09,16.23155785,10.59116268,4.969497681,11.63232899
46,0.092,16.21256638,10.55485153,4.97905159,11.60656166
47,0.094,16.2196064,10.52372265,4.973256111,11.589674
48,0.096,16.21543789,10.48949623,4.957502365,11.56665802
49,0.098,16.20811653,10.45206928,4.938376427,11.54020691
50,0.1,16.1720829,10.41602325,4.900671959,11.50384712
51,0.102,16.15860367,10.38630104,4.883746147,11.48036766
52,0.104,16.1469183,10.365839,4.852182388,11.46170902
53,0.106,16.10109806,10.31075764,4.851686478,11.41551399
54,0.108,16.04024982,10.25358295,4.832256317,11.3617363
55,0.11,15.97941399,10.20535469,4.836621284,11.31568909
56,0.112,15.93190384,10.17303276,4.854445457,11.28444099
57,0.114,15.83910751,10.13591003,4.848428726,11.23396301
58,0.116,15.78060055,10.10436535,4.879424095,11.20169544
59,0.118,15.70992088,10.06634712,4.868829727,11.1569643
60,0.12,15.66802692,10.03282166,4.860021591,11.12355709
61,0.122,15.62180138,10.00620365,4.854942322,11.09353065
62,0.124,15.58440685,9.987459183,4.844531059,11.07005024
63,0.126,15.53636265,9.968247414,4.819916725,11.04190922
64,0.128,15.46633434,9.919006348,4.802998543,10.98978996
